Time,Threshold,Probability
2025-11-24 00:00:00,Trace,0.0
2025-11-24 00:00:00,0.1,0.0
2025-11-24 00:00:00,0.3,0.0
2025-11-24 00:00:00,0.6,0.0
2025-11-24 00:00:00,0.9,0.0
2025-11-24 00:00:00,1.2,0.0
2025-11-24 06:00:00,Trace,0.0
2025-11-24 06:00:00,0.1,0.0
2025-11-24 06:00:00,0.3,0.0
2025-11-24 06:00:00,0.6,0.0
2025-11-24 06:00:00,0.9,0.0
2025-11-24 06:00:00,1.2,0.0
2025-11-24 12:00:00,Trace,0.0
2025-11-24 12:00:00,0.1,0.0
2025-11-24 12:00:00,0.3,0.0
2025-11-24 12:00:00,0.6,0.0
2025-11-24 12:00:00,0.9,0.0
2025-11-24 12:00:00,1.2,0.0
2025-11-24 18:00:00,Trace,0.0
2025-11-24 18:00:00,0.1,0.0
2025-11-24 18:00:00,0.3,0.0
2025-11-24 18:00:00,0.6,0.0
2025-11-24 18:00:00,0.9,0.0
2025-11-24 18:00:00,1.2,0.0
2025-11-25 00:00:00,Trace,0.0
2025-11-25 00:00:00,0.1,0.0
2025-11-25 00:00:00,0.3,0.0
2025-11-25 00:00:00,0.6,0.0
2025-11-25 00:00:00,0.9,0.0
2025-11-25 00:00:00,1.2,0.0
2025-11-25 06:00:00,Trace,0.0
2025-11-25 06:00:00,0.1,0.0
2025-11-25 06:00:00,0.3,0.0
2025-11-25 06:00:00,0.6,0.0
2025-11-25 06:00:00,0.9,0.0
2025-11-25 06:00:00,1.2,0.0
2025-11-25 12:00:00,Trace,0.0
2025-11-25 12:00:00,0.1,0.0
2025-11-25 12:00:00,0.3,0.0
2025-11-25 12:00:00,0.6,0.0
2025-11-25 12:00:00,0.9,0.0
2025-11-25 12:00:00,1.2,0.0
2025-11-25 18:00:00,Trace,0.0
2025-11-25 18:00:00,0.1,0.0
2025-11-25 18:00:00,0.3,0.0
2025-11-25 18:00:00,0.6,0.0
2025-11-25 18:00:00,0.9,0.0
2025-11-25 18:00:00,1.2,0.0
2025-11-26 00:00:00,Trace,0.0
2025-11-26 00:00:00,0.1,0.0
2025-11-26 00:00:00,0.3,0.0
2025-11-26 00:00:00,0.6,0.0
2025-11-26 00:00:00,0.9,0.0
2025-11-26 00:00:00,1.2,0.0
2025-11-26 06:00:00,Trace,0.0
2025-11-26 06:00:00,0.1,0.0
2025-11-26 06:00:00,0.3,0.0
2025-11-26 06:00:00,0.6,0.0
2025-11-26 06:00:00,0.9,0.0
2025-11-26 06:00:00,1.2,0.0
2025-11-26 12:00:00,Trace,0.0
2025-11-26 12:00:00,0.1,0.0
2025-11-26 12:00:00,0.3,0.0
2025-11-26 12:00:00,0.6,0.0
2025-11-26 12:00:00,0.9,0.0
2025-11-26 12:00:00,1.2,0.0
2025-11-26 18:00:00,Trace,3.33
2025-11-26 18:00:00,0.1,0.0
2025-11-26 18:00:00,0.3,0.0
2025-11-26 18:00:00,0.6,0.0
2025-11-26 18:00:00,0.9,0.0
2025-11-26 18:00:00,1.2,0.0
2025-11-27 00:00:00,Trace,6.67
2025-11-27 00:00:00,0.1,3.33
2025-11-27 00:00:00,0.3,0.0
2025-11-27 00:00:00,0.6,0.0
2025-11-27 00:00:00,0.9,0.0
2025-11-27 00:00:00,1.2,0.0
2025-11-27 06:00:00,Trace,6.67
2025-11-27 06:00:00,0.1,3.33
2025-11-27 06:00:00,0.3,0.0
2025-11-27 06:00:00,0.6,0.0
2025-11-27 06:00:00,0.9,0.0
2025-11-27 06:00:00,1.2,0.0
2025-11-27 12:00:00,Trace,6.67
2025-11-27 12:00:00,0.1,3.33
2025-11-27 12:00:00,0.3,0.0
2025-11-27 12:00:00,0.6,0.0
2025-11-27 12:00:00,0.9,0.0
2025-11-27 12:00:00,1.2,0.0
2025-11-27 18:00:00,Trace,6.67
2025-11-27 18:00:00,0.1,3.33
2025-11-27 18:00:00,0.3,0.0
2025-11-27 18:00:00,0.6,0.0
2025-11-27 18:00:00,0.9,0.0
2025-11-27 18:00:00,1.2,0.0
2025-11-28 00:00:00,Trace,6.67
2025-11-28 00:00:00,0.1,0.0
2025-11-28 00:00:00,0.3,0.0
2025-11-28 00:00:00,0.6,0.0
2025-11-28 00:00:00,0.9,0.0
2025-11-28 00:00:00,1.2,0.0
2025-11-28 06:00:00,Trace,6.67
2025-11-28 06:00:00,0.1,0.0
2025-11-28 06:00:00,0.3,0.0
2025-11-28 06:00:00,0.6,0.0
2025-11-28 06:00:00,0.9,0.0
2025-11-28 06:00:00,1.2,0.0
2025-11-28 12:00:00,Trace,10.0
2025-11-28 12:00:00,0.1,0.0
2025-11-28 12:00:00,0.3,0.0
2025-11-28 12:00:00,0.6,0.0
2025-11-28 12:00:00,0.9,0.0
2025-11-28 12:00:00,1.2,0.0
2025-11-28 18:00:00,Trace,16.67
2025-11-28 18:00:00,0.1,10.0
2025-11-28 18:00:00,0.3,3.33
2025-11-28 18:00:00,0.6,0.0
2025-11-28 18:00:00,0.9,0.0
2025-11-28 18:00:00,1.2,0.0
2025-11-29 00:00:00,Trace,20.0
2025-11-29 00:00:00,0.1,13.33
2025-11-29 00:00:00,0.3,6.67
2025-11-29 00:00:00,0.6,3.33
2025-11-29 00:00:00,0.9,0.0
2025-11-29 00:00:00,1.2,0.0
2025-11-29 06:00:00,Trace,26.67
2025-11-29 06:00:00,0.1,26.67
2025-11-29 06:00:00,0.3,6.67
2025-11-29 06:00:00,0.6,3.33
2025-11-29 06:00:00,0.9,3.33
2025-11-29 06:00:00,1.2,0.0
2025-11-29 12:00:00,Trace,33.33
2025-11-29 12:00:00,0.1,30.0
2025-11-29 12:00:00,0.3,13.33
2025-11-29 12:00:00,0.6,6.67
2025-11-29 12:00:00,0.9,3.33
2025-11-29 12:00:00,1.2,0.0
2025-11-29 18:00:00,Trace,36.67
2025-11-29 18:00:00,0.1,30.0
2025-11-29 18:00:00,0.3,20.0
2025-11-29 18:00:00,0.6,6.67
2025-11-29 18:00:00,0.9,3.33
2025-11-29 18:00:00,1.2,0.0
2025-11-30 00:00:00,Trace,43.33
2025-11-30 00:00:00,0.1,36.67
2025-11-30 00:00:00,0.3,20.0
2025-11-30 00:00:00,0.6,6.67
2025-11-30 00:00:00,0.9,3.33
2025-11-30 00:00:00,1.2,0.0
2025-11-30 06:00:00,Trace,53.33
2025-11-30 06:00:00,0.1,43.33
2025-11-30 06:00:00,0.3,26.67
2025-11-30 06:00:00,0.6,6.67
2025-11-30 06:00:00,0.9,3.33
2025-11-30 06:00:00,1.2,0.0
2025-11-30 12:00:00,Trace,73.33
2025-11-30 12:00:00,0.1,56.67
2025-11-30 12:00:00,0.3,30.0
2025-11-30 12:00:00,0.6,13.33
2025-11-30 12:00:00,0.9,3.33
2025-11-30 12:00:00,1.2,0.0
2025-11-30 18:00:00,Trace,83.33
2025-11-30 18:00:00,0.1,66.67
2025-11-30 18:00:00,0.3,46.67
2025-11-30 18:00:00,0.6,16.67
2025-11-30 18:00:00,0.9,10.0
2025-11-30 18:00:00,1.2,3.33
