Time,Threshold,Probability
2025-07-29 00:00:00,80,96.67
2025-07-29 00:00:00,90,96.67
2025-07-29 00:00:00,95,93.33
2025-07-29 00:00:00,100,0.0
2025-07-29 06:00:00,80,96.67
2025-07-29 06:00:00,90,96.67
2025-07-29 06:00:00,95,93.33
2025-07-29 06:00:00,100,0.0
2025-07-29 12:00:00,80,0.0
2025-07-29 12:00:00,90,0.0
2025-07-29 12:00:00,95,0.0
2025-07-29 12:00:00,100,0.0
2025-07-29 18:00:00,80,100.0
2025-07-29 18:00:00,90,73.33
2025-07-29 18:00:00,95,26.67
2025-07-29 18:00:00,100,0.0
2025-07-30 00:00:00,80,100.0
2025-07-30 00:00:00,90,90.0
2025-07-30 00:00:00,95,66.67
2025-07-30 00:00:00,100,6.67
2025-07-30 06:00:00,80,83.33
2025-07-30 06:00:00,90,16.67
2025-07-30 06:00:00,95,0.0
2025-07-30 06:00:00,100,0.0
2025-07-30 12:00:00,80,0.0
2025-07-30 12:00:00,90,0.0
2025-07-30 12:00:00,95,0.0
2025-07-30 12:00:00,100,0.0
2025-07-30 18:00:00,80,0.0
2025-07-30 18:00:00,90,0.0
2025-07-30 18:00:00,95,0.0
2025-07-30 18:00:00,100,0.0
2025-07-31 00:00:00,80,3.33
2025-07-31 00:00:00,90,0.0
2025-07-31 00:00:00,95,0.0
2025-07-31 00:00:00,100,0.0
2025-07-31 06:00:00,80,0.0
2025-07-31 06:00:00,90,0.0
2025-07-31 06:00:00,95,0.0
2025-07-31 06:00:00,100,0.0
2025-07-31 12:00:00,80,0.0
2025-07-31 12:00:00,90,0.0
2025-07-31 12:00:00,95,0.0
2025-07-31 12:00:00,100,0.0
2025-07-31 18:00:00,80,0.0
2025-07-31 18:00:00,90,0.0
2025-07-31 18:00:00,95,0.0
2025-07-31 18:00:00,100,0.0
2025-08-01 00:00:00,80,43.33
2025-08-01 00:00:00,90,10.0
2025-08-01 00:00:00,95,0.0
2025-08-01 00:00:00,100,0.0
2025-08-01 06:00:00,80,13.33
2025-08-01 06:00:00,90,0.0
2025-08-01 06:00:00,95,0.0
2025-08-01 06:00:00,100,0.0
2025-08-01 12:00:00,80,0.0
2025-08-01 12:00:00,90,0.0
2025-08-01 12:00:00,95,0.0
2025-08-01 12:00:00,100,0.0
2025-08-01 18:00:00,80,13.33
2025-08-01 18:00:00,90,3.33
2025-08-01 18:00:00,95,0.0
2025-08-01 18:00:00,100,0.0
2025-08-02 00:00:00,80,53.33
2025-08-02 00:00:00,90,6.67
2025-08-02 00:00:00,95,0.0
2025-08-02 00:00:00,100,0.0
2025-08-02 06:00:00,80,20.0
2025-08-02 06:00:00,90,0.0
2025-08-02 06:00:00,95,0.0
2025-08-02 06:00:00,100,0.0
2025-08-02 12:00:00,80,0.0
2025-08-02 12:00:00,90,0.0
2025-08-02 12:00:00,95,0.0
2025-08-02 12:00:00,100,0.0
2025-08-02 18:00:00,80,26.67
2025-08-02 18:00:00,90,6.67
2025-08-02 18:00:00,95,0.0
2025-08-02 18:00:00,100,0.0
2025-08-03 00:00:00,80,50.0
2025-08-03 00:00:00,90,23.33
2025-08-03 00:00:00,95,6.67
2025-08-03 00:00:00,100,0.0
2025-08-03 06:00:00,80,36.67
2025-08-03 06:00:00,90,16.67
2025-08-03 06:00:00,95,0.0
2025-08-03 06:00:00,100,0.0
2025-08-03 12:00:00,80,0.0
2025-08-03 12:00:00,90,0.0
2025-08-03 12:00:00,95,0.0
2025-08-03 12:00:00,100,0.0
2025-08-03 18:00:00,80,40.0
2025-08-03 18:00:00,90,23.33
2025-08-03 18:00:00,95,6.67
2025-08-03 18:00:00,100,0.0
2025-08-04 00:00:00,80,96.67
2025-08-04 00:00:00,90,96.67
2025-08-04 00:00:00,95,66.67
2025-08-04 00:00:00,100,36.67
2025-08-04 06:00:00,80,93.33
2025-08-04 06:00:00,90,76.67
2025-08-04 06:00:00,95,50.0
2025-08-04 06:00:00,100,16.67
2025-08-04 12:00:00,80,3.33
2025-08-04 12:00:00,90,0.0
2025-08-04 12:00:00,95,0.0
2025-08-04 12:00:00,100,0.0
2025-08-04 18:00:00,80,96.67
2025-08-04 18:00:00,90,76.67
2025-08-04 18:00:00,95,36.67
2025-08-04 18:00:00,100,10.0
2025-08-05 00:00:00,80,86.67
2025-08-05 00:00:00,90,56.67
2025-08-05 00:00:00,95,20.0
2025-08-05 00:00:00,100,6.67
2025-08-05 06:00:00,80,96.67
2025-08-05 06:00:00,90,73.33
2025-08-05 06:00:00,95,36.67
2025-08-05 06:00:00,100,10.0
2025-08-05 12:00:00,80,3.33
2025-08-05 12:00:00,90,0.0
2025-08-05 12:00:00,95,0.0
2025-08-05 12:00:00,100,0.0
2025-08-05 18:00:00,80,100.0
2025-08-05 18:00:00,90,93.33
2025-08-05 18:00:00,95,60.0
2025-08-05 18:00:00,100,30.0
2025-08-06 00:00:00,80,100.0
2025-08-06 00:00:00,90,100.0
2025-08-06 00:00:00,95,100.0
2025-08-06 00:00:00,100,93.33
2025-08-06 06:00:00,80,100.0
2025-08-06 06:00:00,90,100.0
2025-08-06 06:00:00,95,100.0
2025-08-06 06:00:00,100,60.0
2025-08-06 12:00:00,80,53.33
2025-08-06 12:00:00,90,10.0
2025-08-06 12:00:00,95,3.33
2025-08-06 12:00:00,100,0.0
2025-08-06 18:00:00,80,100.0
2025-08-06 18:00:00,90,100.0
2025-08-06 18:00:00,95,100.0
2025-08-06 18:00:00,100,93.33
2025-08-07 00:00:00,80,100.0
2025-08-07 00:00:00,90,100.0
2025-08-07 00:00:00,95,100.0
2025-08-07 00:00:00,100,86.67
2025-08-07 06:00:00,80,100.0
2025-08-07 06:00:00,90,100.0
2025-08-07 06:00:00,95,96.67
2025-08-07 06:00:00,100,73.33
2025-08-07 12:00:00,80,53.33
2025-08-07 12:00:00,90,20.0
2025-08-07 12:00:00,95,0.0
2025-08-07 12:00:00,100,0.0
2025-08-07 18:00:00,80,100.0
2025-08-07 18:00:00,90,96.67
2025-08-07 18:00:00,95,80.0
2025-08-07 18:00:00,100,70.0
2025-08-08 00:00:00,80,100.0
2025-08-08 00:00:00,90,93.33
2025-08-08 00:00:00,95,86.67
2025-08-08 00:00:00,100,66.67
