Time,Threshold,Probability
2025-08-21 00:00:00,80,100.0
2025-08-21 00:00:00,90,93.33
2025-08-21 00:00:00,95,0.0
2025-08-21 00:00:00,100,0.0
2025-08-21 06:00:00,80,100.0
2025-08-21 06:00:00,90,93.33
2025-08-21 06:00:00,95,0.0
2025-08-21 06:00:00,100,0.0
2025-08-21 12:00:00,80,0.0
2025-08-21 12:00:00,90,0.0
2025-08-21 12:00:00,95,0.0
2025-08-21 12:00:00,100,0.0
2025-08-21 18:00:00,80,100.0
2025-08-21 18:00:00,90,96.67
2025-08-21 18:00:00,95,56.67
2025-08-21 18:00:00,100,0.0
2025-08-22 00:00:00,80,100.0
2025-08-22 00:00:00,90,100.0
2025-08-22 00:00:00,95,100.0
2025-08-22 00:00:00,100,96.67
2025-08-22 06:00:00,80,100.0
2025-08-22 06:00:00,90,100.0
2025-08-22 06:00:00,95,100.0
2025-08-22 06:00:00,100,83.33
2025-08-22 12:00:00,80,3.33
2025-08-22 12:00:00,90,0.0
2025-08-22 12:00:00,95,0.0
2025-08-22 12:00:00,100,0.0
2025-08-22 18:00:00,80,100.0
2025-08-22 18:00:00,90,80.0
2025-08-22 18:00:00,95,26.67
2025-08-22 18:00:00,100,3.33
2025-08-23 00:00:00,80,100.0
2025-08-23 00:00:00,90,80.0
2025-08-23 00:00:00,95,40.0
2025-08-23 00:00:00,100,10.0
2025-08-23 06:00:00,80,66.67
2025-08-23 06:00:00,90,26.67
2025-08-23 06:00:00,95,6.67
2025-08-23 06:00:00,100,0.0
2025-08-23 12:00:00,80,0.0
2025-08-23 12:00:00,90,0.0
2025-08-23 12:00:00,95,0.0
2025-08-23 12:00:00,100,0.0
2025-08-23 18:00:00,80,76.67
2025-08-23 18:00:00,90,13.33
2025-08-23 18:00:00,95,0.0
2025-08-23 18:00:00,100,0.0
2025-08-24 00:00:00,80,93.33
2025-08-24 00:00:00,90,80.0
2025-08-24 00:00:00,95,13.33
2025-08-24 00:00:00,100,0.0
2025-08-24 06:00:00,80,93.33
2025-08-24 06:00:00,90,60.0
2025-08-24 06:00:00,95,6.67
2025-08-24 06:00:00,100,0.0
2025-08-24 12:00:00,80,0.0
2025-08-24 12:00:00,90,0.0
2025-08-24 12:00:00,95,0.0
2025-08-24 12:00:00,100,0.0
2025-08-24 18:00:00,80,56.67
2025-08-24 18:00:00,90,13.33
2025-08-24 18:00:00,95,0.0
2025-08-24 18:00:00,100,0.0
2025-08-25 00:00:00,80,83.33
2025-08-25 00:00:00,90,43.33
2025-08-25 00:00:00,95,3.33
2025-08-25 00:00:00,100,0.0
2025-08-25 06:00:00,80,33.33
2025-08-25 06:00:00,90,10.0
2025-08-25 06:00:00,95,0.0
2025-08-25 06:00:00,100,0.0
2025-08-25 12:00:00,80,0.0
2025-08-25 12:00:00,90,0.0
2025-08-25 12:00:00,95,0.0
2025-08-25 12:00:00,100,0.0
2025-08-25 18:00:00,80,6.67
2025-08-25 18:00:00,90,0.0
2025-08-25 18:00:00,95,0.0
2025-08-25 18:00:00,100,0.0
2025-08-26 00:00:00,80,3.33
2025-08-26 00:00:00,90,0.0
2025-08-26 00:00:00,95,0.0
2025-08-26 00:00:00,100,0.0
2025-08-26 06:00:00,80,0.0
2025-08-26 06:00:00,90,0.0
2025-08-26 06:00:00,95,0.0
2025-08-26 06:00:00,100,0.0
2025-08-26 12:00:00,80,0.0
2025-08-26 12:00:00,90,0.0
2025-08-26 12:00:00,95,0.0
2025-08-26 12:00:00,100,0.0
2025-08-26 18:00:00,80,3.33
2025-08-26 18:00:00,90,0.0
2025-08-26 18:00:00,95,0.0
2025-08-26 18:00:00,100,0.0
2025-08-27 00:00:00,80,13.33
2025-08-27 00:00:00,90,0.0
2025-08-27 00:00:00,95,0.0
2025-08-27 00:00:00,100,0.0
2025-08-27 06:00:00,80,6.67
2025-08-27 06:00:00,90,0.0
2025-08-27 06:00:00,95,0.0
2025-08-27 06:00:00,100,0.0
2025-08-27 12:00:00,80,0.0
2025-08-27 12:00:00,90,0.0
2025-08-27 12:00:00,95,0.0
2025-08-27 12:00:00,100,0.0
2025-08-27 18:00:00,80,10.0
2025-08-27 18:00:00,90,3.33
2025-08-27 18:00:00,95,0.0
2025-08-27 18:00:00,100,0.0
2025-08-28 00:00:00,80,36.67
2025-08-28 00:00:00,90,16.67
2025-08-28 00:00:00,95,3.33
2025-08-28 00:00:00,100,0.0
2025-08-28 06:00:00,80,33.33
2025-08-28 06:00:00,90,6.67
2025-08-28 06:00:00,95,3.33
2025-08-28 06:00:00,100,0.0
2025-08-28 12:00:00,80,0.0
2025-08-28 12:00:00,90,0.0
2025-08-28 12:00:00,95,0.0
2025-08-28 12:00:00,100,0.0
2025-08-28 18:00:00,80,43.33
2025-08-28 18:00:00,90,23.33
2025-08-28 18:00:00,95,3.33
2025-08-28 18:00:00,100,3.33
2025-08-29 00:00:00,80,30.0
2025-08-29 00:00:00,90,6.67
2025-08-29 00:00:00,95,3.33
2025-08-29 00:00:00,100,0.0
2025-08-29 06:00:00,80,6.67
2025-08-29 06:00:00,90,3.33
2025-08-29 06:00:00,95,0.0
2025-08-29 06:00:00,100,0.0
2025-08-29 12:00:00,80,0.0
2025-08-29 12:00:00,90,0.0
2025-08-29 12:00:00,95,0.0
2025-08-29 12:00:00,100,0.0
2025-08-29 18:00:00,80,10.0
2025-08-29 18:00:00,90,0.0
2025-08-29 18:00:00,95,0.0
2025-08-29 18:00:00,100,0.0
2025-08-30 00:00:00,80,66.67
2025-08-30 00:00:00,90,20.0
2025-08-30 00:00:00,95,0.0
2025-08-30 00:00:00,100,0.0
2025-08-30 06:00:00,80,20.0
2025-08-30 06:00:00,90,0.0
2025-08-30 06:00:00,95,0.0
2025-08-30 06:00:00,100,0.0
2025-08-30 12:00:00,80,0.0
2025-08-30 12:00:00,90,0.0
2025-08-30 12:00:00,95,0.0
2025-08-30 12:00:00,100,0.0
2025-08-30 18:00:00,80,26.67
2025-08-30 18:00:00,90,6.67
2025-08-30 18:00:00,95,0.0
2025-08-30 18:00:00,100,0.0
2025-08-31 00:00:00,80,53.33
2025-08-31 00:00:00,90,33.33
2025-08-31 00:00:00,95,13.33
2025-08-31 00:00:00,100,3.33
