Time,Threshold,Probability
2025-07-09 00:00:00,80,0.0
2025-07-09 00:00:00,90,0.0
2025-07-09 00:00:00,95,0.0
2025-07-09 00:00:00,100,0.0
2025-07-09 06:00:00,80,0.0
2025-07-09 06:00:00,90,0.0
2025-07-09 06:00:00,95,0.0
2025-07-09 06:00:00,100,0.0
2025-07-09 12:00:00,80,0.0
2025-07-09 12:00:00,90,0.0
2025-07-09 12:00:00,95,0.0
2025-07-09 12:00:00,100,0.0
2025-07-09 18:00:00,80,76.67
2025-07-09 18:00:00,90,0.0
2025-07-09 18:00:00,95,0.0
2025-07-09 18:00:00,100,0.0
2025-07-10 00:00:00,80,100.0
2025-07-10 00:00:00,90,100.0
2025-07-10 00:00:00,95,93.33
2025-07-10 00:00:00,100,56.67
2025-07-10 06:00:00,80,100.0
2025-07-10 06:00:00,90,96.67
2025-07-10 06:00:00,95,80.0
2025-07-10 06:00:00,100,6.67
2025-07-10 12:00:00,80,0.0
2025-07-10 12:00:00,90,0.0
2025-07-10 12:00:00,95,0.0
2025-07-10 12:00:00,100,0.0
2025-07-10 18:00:00,80,100.0
2025-07-10 18:00:00,90,66.67
2025-07-10 18:00:00,95,23.33
2025-07-10 18:00:00,100,3.33
2025-07-11 00:00:00,80,100.0
2025-07-11 00:00:00,90,76.67
2025-07-11 00:00:00,95,50.0
2025-07-11 00:00:00,100,6.67
2025-07-11 06:00:00,80,66.67
2025-07-11 06:00:00,90,36.67
2025-07-11 06:00:00,95,0.0
2025-07-11 06:00:00,100,0.0
2025-07-11 12:00:00,80,0.0
2025-07-11 12:00:00,90,0.0
2025-07-11 12:00:00,95,0.0
2025-07-11 12:00:00,100,0.0
2025-07-11 18:00:00,80,0.0
2025-07-11 18:00:00,90,0.0
2025-07-11 18:00:00,95,0.0
2025-07-11 18:00:00,100,0.0
2025-07-12 00:00:00,80,16.67
2025-07-12 00:00:00,90,0.0
2025-07-12 00:00:00,95,0.0
2025-07-12 00:00:00,100,0.0
2025-07-12 06:00:00,80,6.67
2025-07-12 06:00:00,90,0.0
2025-07-12 06:00:00,95,0.0
2025-07-12 06:00:00,100,0.0
2025-07-12 12:00:00,80,0.0
2025-07-12 12:00:00,90,0.0
2025-07-12 12:00:00,95,0.0
2025-07-12 12:00:00,100,0.0
2025-07-12 18:00:00,80,10.0
2025-07-12 18:00:00,90,0.0
2025-07-12 18:00:00,95,0.0
2025-07-12 18:00:00,100,0.0
2025-07-13 00:00:00,80,23.33
2025-07-13 00:00:00,90,0.0
2025-07-13 00:00:00,95,0.0
2025-07-13 00:00:00,100,0.0
2025-07-13 06:00:00,80,6.67
2025-07-13 06:00:00,90,0.0
2025-07-13 06:00:00,95,0.0
2025-07-13 06:00:00,100,0.0
2025-07-13 12:00:00,80,0.0
2025-07-13 12:00:00,90,0.0
2025-07-13 12:00:00,95,0.0
2025-07-13 12:00:00,100,0.0
2025-07-13 18:00:00,80,43.33
2025-07-13 18:00:00,90,13.33
2025-07-13 18:00:00,95,0.0
2025-07-13 18:00:00,100,0.0
2025-07-14 00:00:00,80,93.33
2025-07-14 00:00:00,90,50.0
2025-07-14 00:00:00,95,13.33
2025-07-14 00:00:00,100,0.0
2025-07-14 06:00:00,80,73.33
2025-07-14 06:00:00,90,33.33
2025-07-14 06:00:00,95,3.33
2025-07-14 06:00:00,100,0.0
2025-07-14 12:00:00,80,0.0
2025-07-14 12:00:00,90,0.0
2025-07-14 12:00:00,95,0.0
2025-07-14 12:00:00,100,0.0
2025-07-14 18:00:00,80,80.0
2025-07-14 18:00:00,90,30.0
2025-07-14 18:00:00,95,6.67
2025-07-14 18:00:00,100,0.0
2025-07-15 00:00:00,80,86.67
2025-07-15 00:00:00,90,83.33
2025-07-15 00:00:00,95,70.0
2025-07-15 00:00:00,100,20.0
2025-07-15 06:00:00,80,76.67
2025-07-15 06:00:00,90,66.67
2025-07-15 06:00:00,95,30.0
2025-07-15 06:00:00,100,0.0
2025-07-15 12:00:00,80,0.0
2025-07-15 12:00:00,90,0.0
2025-07-15 12:00:00,95,0.0
2025-07-15 12:00:00,100,0.0
2025-07-15 18:00:00,80,63.33
2025-07-15 18:00:00,90,56.67
2025-07-15 18:00:00,95,30.0
2025-07-15 18:00:00,100,6.67
2025-07-16 00:00:00,80,70.0
2025-07-16 00:00:00,90,60.0
2025-07-16 00:00:00,95,43.33
2025-07-16 00:00:00,100,3.33
2025-07-16 06:00:00,80,53.33
2025-07-16 06:00:00,90,40.0
2025-07-16 06:00:00,95,10.0
2025-07-16 06:00:00,100,3.33
2025-07-16 12:00:00,80,0.0
2025-07-16 12:00:00,90,0.0
2025-07-16 12:00:00,95,0.0
2025-07-16 12:00:00,100,0.0
2025-07-16 18:00:00,80,26.67
2025-07-16 18:00:00,90,20.0
2025-07-16 18:00:00,95,13.33
2025-07-16 18:00:00,100,0.0
2025-07-17 00:00:00,80,40.0
2025-07-17 00:00:00,90,23.33
2025-07-17 00:00:00,95,20.0
2025-07-17 00:00:00,100,13.33
2025-07-17 06:00:00,80,23.33
2025-07-17 06:00:00,90,20.0
2025-07-17 06:00:00,95,13.33
2025-07-17 06:00:00,100,3.33
2025-07-17 12:00:00,80,0.0
2025-07-17 12:00:00,90,0.0
2025-07-17 12:00:00,95,0.0
2025-07-17 12:00:00,100,0.0
2025-07-17 18:00:00,80,20.0
2025-07-17 18:00:00,90,6.67
2025-07-17 18:00:00,95,0.0
2025-07-17 18:00:00,100,0.0
2025-07-18 00:00:00,80,36.67
2025-07-18 00:00:00,90,10.0
2025-07-18 00:00:00,95,6.67
2025-07-18 00:00:00,100,0.0
2025-07-18 06:00:00,80,23.33
2025-07-18 06:00:00,90,6.67
2025-07-18 06:00:00,95,0.0
2025-07-18 06:00:00,100,0.0
2025-07-18 12:00:00,80,0.0
2025-07-18 12:00:00,90,0.0
2025-07-18 12:00:00,95,0.0
2025-07-18 12:00:00,100,0.0
2025-07-18 18:00:00,80,36.67
2025-07-18 18:00:00,90,16.67
2025-07-18 18:00:00,95,3.33
2025-07-18 18:00:00,100,0.0
2025-07-19 00:00:00,80,50.0
2025-07-19 00:00:00,90,33.33
2025-07-19 00:00:00,95,10.0
2025-07-19 00:00:00,100,3.33
