Time,Threshold,Probability
2026-03-22 06:00:00,0.1,0.0
2026-03-22 06:00:00,0.25,0.0
2026-03-22 06:00:00,0.5,0.0
2026-03-22 06:00:00,1,0.0
2026-03-22 06:00:00,2,0.0
2026-03-22 06:00:00,3,0.0
2026-03-22 12:00:00,0.1,0.0
2026-03-22 12:00:00,0.25,0.0
2026-03-22 12:00:00,0.5,0.0
2026-03-22 12:00:00,1,0.0
2026-03-22 12:00:00,2,0.0
2026-03-22 12:00:00,3,0.0
2026-03-22 18:00:00,0.1,0.0
2026-03-22 18:00:00,0.25,0.0
2026-03-22 18:00:00,0.5,0.0
2026-03-22 18:00:00,1,0.0
2026-03-22 18:00:00,2,0.0
2026-03-22 18:00:00,3,0.0
2026-03-23 00:00:00,0.1,0.0
2026-03-23 00:00:00,0.25,0.0
2026-03-23 00:00:00,0.5,0.0
2026-03-23 00:00:00,1,0.0
2026-03-23 00:00:00,2,0.0
2026-03-23 00:00:00,3,0.0
2026-03-23 06:00:00,0.1,0.0
2026-03-23 06:00:00,0.25,0.0
2026-03-23 06:00:00,0.5,0.0
2026-03-23 06:00:00,1,0.0
2026-03-23 06:00:00,2,0.0
2026-03-23 06:00:00,3,0.0
2026-03-23 12:00:00,0.1,0.0
2026-03-23 12:00:00,0.25,0.0
2026-03-23 12:00:00,0.5,0.0
2026-03-23 12:00:00,1,0.0
2026-03-23 12:00:00,2,0.0
2026-03-23 12:00:00,3,0.0
2026-03-23 18:00:00,0.1,6.67
2026-03-23 18:00:00,0.25,0.0
2026-03-23 18:00:00,0.5,0.0
2026-03-23 18:00:00,1,0.0
2026-03-23 18:00:00,2,0.0
2026-03-23 18:00:00,3,0.0
2026-03-24 00:00:00,0.1,0.0
2026-03-24 00:00:00,0.25,0.0
2026-03-24 00:00:00,0.5,0.0
2026-03-24 00:00:00,1,0.0
2026-03-24 00:00:00,2,0.0
2026-03-24 00:00:00,3,0.0
2026-03-24 06:00:00,0.1,0.0
2026-03-24 06:00:00,0.25,0.0
2026-03-24 06:00:00,0.5,0.0
2026-03-24 06:00:00,1,0.0
2026-03-24 06:00:00,2,0.0
2026-03-24 06:00:00,3,0.0
2026-03-24 12:00:00,0.1,0.0
2026-03-24 12:00:00,0.25,0.0
2026-03-24 12:00:00,0.5,0.0
2026-03-24 12:00:00,1,0.0
2026-03-24 12:00:00,2,0.0
2026-03-24 12:00:00,3,0.0
2026-03-24 18:00:00,0.1,0.0
2026-03-24 18:00:00,0.25,0.0
2026-03-24 18:00:00,0.5,0.0
2026-03-24 18:00:00,1,0.0
2026-03-24 18:00:00,2,0.0
2026-03-24 18:00:00,3,0.0
2026-03-25 00:00:00,0.1,0.0
2026-03-25 00:00:00,0.25,0.0
2026-03-25 00:00:00,0.5,0.0
2026-03-25 00:00:00,1,0.0
2026-03-25 00:00:00,2,0.0
2026-03-25 00:00:00,3,0.0
2026-03-25 06:00:00,0.1,0.0
2026-03-25 06:00:00,0.25,0.0
2026-03-25 06:00:00,0.5,0.0
2026-03-25 06:00:00,1,0.0
2026-03-25 06:00:00,2,0.0
2026-03-25 06:00:00,3,0.0
2026-03-25 12:00:00,0.1,0.0
2026-03-25 12:00:00,0.25,0.0
2026-03-25 12:00:00,0.5,0.0
2026-03-25 12:00:00,1,0.0
2026-03-25 12:00:00,2,0.0
2026-03-25 12:00:00,3,0.0
2026-03-25 18:00:00,0.1,0.0
2026-03-25 18:00:00,0.25,0.0
2026-03-25 18:00:00,0.5,0.0
2026-03-25 18:00:00,1,0.0
2026-03-25 18:00:00,2,0.0
2026-03-25 18:00:00,3,0.0
2026-03-26 00:00:00,0.1,0.0
2026-03-26 00:00:00,0.25,0.0
2026-03-26 00:00:00,0.5,0.0
2026-03-26 00:00:00,1,0.0
2026-03-26 00:00:00,2,0.0
2026-03-26 00:00:00,3,0.0
2026-03-26 06:00:00,0.1,0.0
2026-03-26 06:00:00,0.25,0.0
2026-03-26 06:00:00,0.5,0.0
2026-03-26 06:00:00,1,0.0
2026-03-26 06:00:00,2,0.0
2026-03-26 06:00:00,3,0.0
2026-03-26 12:00:00,0.1,0.0
